date,close,volume,pnl
5/5/20,2868.44,5129590000,597761.8268
5/4/20,2842.74,4723140000,-767356.5909
5/1/20,2830.71,4753160000,-359194.5443
4/30/20,2912.43,6523120000,2440014.81
4/29/20,2939.51,6620140000,808560.9526
4/28/20,2863.39,5672880000,-2272808.704
4/27/20,2878.48,5194260000,450560.7376
4/24/20,2836.74,5374480000,-1246282.65
4/23/20,2797.8,5756520000,-1162679.597
4/22/20,2799.31,5049660000,45085.93199
4/21/20,2736.56,5075830000,-1873604.128
4/20/20,2823.16,5220160000,2585722.987
4/17/20,2874.56,5792140000,1534713.182
4/16/20,2799.55,5179990000,-2239666.066
4/15/20,2783.36,5203390000,-483404.794
4/14/20,2846.06,5567400000,1872111.216
4/13/20,2761.63,5274310000,-2520930.621
4/9/20,2789.82,7880140000,841703.5913
4/8/20,2749.98,5856370000,-1189552.007
4/7/20,2659.41,7040720000,-2704260.173
4/6/20,2663.68,6391860000,127494.6554
4/3/20,2488.65,6087190000,-5226086.541
4/2/20,2526.9,6454990000,1142077.416
4/1/20,2470.5,5947900000,-1684004.347
3/31/20,2584.59,6568290000,3406525.815
3/30/20,2626.65,5746220000,1255837.285
3/27/20,2541.47,6194330000,-2543324.296
3/26/20,2630.07,7753160000,2645439.453
3/25/20,2475.56,8285670000,-4613395.598
3/24/20,2447.33,7547350000,-842897.9207
3/23/20,2237.4,7402180000,-6268138.877
3/20/20,2304.92,9044690000,2016027.9
3/19/20,2409.39,7946710000,3119289.613
3/18/20,2398.1,8755780000,-337099.4518
3/17/20,2529.19,8358500000,3914115.778
3/16/20,2386.13,7781540000,-4271518.829
3/13/20,2711.02,8258670000,9700641.355
3/12/20,2480.64,8829380000,-6878739.744
3/11/20,2741.38,7374110000,7785235.701
3/10/20,2882.23,7635960000,4205532.133
3/9/20,2746.56,8423050000,-4050866.486
3/6/20,2972.37,6552140000,6742287.618
3/5/20,3023.94,5575550000,1539789.081
3/4/20,3130.12,5035480000,3170347.192
3/3/20,3003.37,6355940000,-3784531.047
3/2/20,3090.23,6376400000,2593486.128
2/28/20,2954.22,8563850000,-4061018.285
2/27/20,2978.76,7058840000,732721.0405
2/26/20,3116.39,5478110000,4109388.623
2/25/20,3128.21,5591510000,352924.3154
2/24/20,3225.89,4842960000,2916552.21
2/21/20,3337.75,3899270000,3339941.956
2/20/20,3373.23,4007320000,1059370.111
2/19/20,3386.15,3600150000,385768.3718
2/18/20,3370.29,3746720000,-473551.5771
2/14/20,3380.16,3398040000,294700.7608
2/13/20,3373.94,3498240000,-185718.2099
2/12/20,3379.45,3926380000,164518.8644
2/11/20,3357.75,3760550000,-647923.6585
2/10/20,3352.09,3450350000,-168997.5994
2/7/20,3327.71,3730650000,-727943.7232
2/6/20,3345.78,3868370000,539538.2723
2/5/20,3334.69,4117730000,-331127.8052
2/4/20,3297.59,3995320000,-1107740.448
2/3/20,3248.92,3757910000,-1453200.205
1/31/20,3225.52,4527830000,-698682.6548
1/30/20,3283.66,3787250000,1735957.673
1/29/20,3273.4,3584500000,-306345.4717
1/28/20,3276.24,3526720000,84797.38203
1/27/20,3243.63,3823100000,-973676.9817
1/24/20,3295.47,3707130000,1547850.804
1/23/20,3325.54,3764860000,897837.0696
1/22/20,3321.75,3619850000,-113162.7035
1/21/20,3320.79,4105340000,-28663.90378
1/17/20,3329.62,3698170000,263648.1984
1/16/20,3316.81,3535080000,-382483.9661
1/15/20,3289.29,3716840000,-821698.5752
1/14/20,3283.15,3665130000,-183329.5513
1/13/20,3288.13,3456380000,148694.0009
1/10/20,3265.35,3212970000,-680170.5502
1/9/20,3274.7,3638390000,279174.4796
1/8/20,3253.05,3720890000,-646430.7468
1/7/20,3237.18,3420380000,-473850.1594
1/6/20,3246.28,3674070000,271709.9213
1/3/20,3234.85,3461290000,-341279.6044
1/2/20,3257.85,3458250000,686739.3615
12/31/19,3230.78,2893810000,-808262.3703
12/30/19,3221.29,3013290000,-283354.6322
12/27/19,3240.02,2428670000,559244.7061
12/26/19,3239.91,2160680000,-3284.405642
12/24/19,3223.38,1296540000,-493556.5933
12/23/19,3224.01,3060610000,18810.68686
12/20/19,3221.22,6454270000,-83304.47037
12/19/19,3205.37,3720450000,-473252.9948
12/18/19,3191.14,4014080000,-424882.6571
12/17/19,3192.52,3837540000,41204.36169
12/16/19,3191.45,4051790000,-31948.30943
12/13/19,3168.8,3736870000,-676288.9799
12/12/19,3168.57,3990690000,-6867.393615
12/11/19,3141.63,3252540000,-804380.8
12/10/19,3132.52,3343790000,-272008.5036
12/9/19,3135.96,3345990000,102712.3219
12/6/19,3145.91,3479480000,297089.4194
12/5/19,3117.43,3355750000,-850362.4789
12/4/19,3112.76,3695030000,-139437.9486
12/3/19,3093.2,3653390000,-584027.0396
12/2/19,3113.87,3268740000,617169.6784
11/29/19,3140.98,1743020000,809456.6996
11/27/19,3153.63,3033090000,377706.6488
11/26/19,3140.52,4595590000,-391441.4361
11/25/19,3133.64,3511530000,-205424.6438
11/22/19,3110.29,3226780000,-697189.7431
11/21/19,3103.54,3720560000,-201543.0735
11/20/19,3108.46,4034890000,146902.5069
11/19/19,3120.18,3590070000,349938.492
11/18/19,3122.03,3436690000,55237.73125
11/15/19,3120.46,3335650000,-46877.42598
11/14/19,3096.63,3276070000,-711521.695
11/13/19,3094.04,3509280000,-77332.82375
11/12/19,3091.84,3466010000,-65688.11284
11/11/19,3087.01,3035530000,-144215.2659
11/8/19,3093.08,3499150000,181239.475
11/7/19,3085.18,4144640000,-235880.0416
11/6/19,3076.78,4458190000,-250809.1581
11/5/19,3074.62,4486130000,-64493.78352
11/4/19,3078.27,4146850000,108982.5508
11/1/19,3066.91,3930200000,-339189.5281
10/31/19,3037.56,4139280000,-876339.1418
10/30/19,3046.77,3776030000,274994.3269
10/29/19,3036.89,3589930000,-294999.3431
10/28/19,3039.42,3521230000,75541.32977
